fromstopname,route_name,Count of total passengers
Kila Maidan Or Laxmibai Pratima,E-5,98
Kothari Market,C-1,26
Kothari Market,C-4(M-34),11
Kothari Market,E-3,23
Kothari Market,M-22 A,27
Kothari Market,M-25,7
Kothari Market,M-29,12
Kothari Market,M-36,22
Kothari Market,R-9,27
Kothari Market Or Mth,C-1,13
Kothari Market Or Mth,C-4(M-34),13
Kothari Market Or Mth,E-3,13
Kothari Market Or Mth,M-22 A,17
Kothari Market Or Mth,M-25,3
Kothari Market Or Mth,M-29,11
Kothari Market Or Mth,M-36,3
Kothari Market Or Mth,R-9,37
Krishi College,C-4(M-34),32
Krishi College,M-29,69
Krishna Nagar,R-4,12
Krishnapuri Colony Or Allahabad Bank,C-4(M-34),18
Krishnapuri Colony Or Allahabad Bank,N-5,67
Krishnapuri Colony Or Allahabad Bank,R-5,99
Kshipra,M-26,23
Kshipra,Narsingarh-Indore Via Biaora,1
Kudana,M-26A,6
Kudana Bypass,M-26A,7
Kumar Khadi,C-4(M-34),16
Kumar Khadi,E-5,99
Kundan Nagar,R-9,40
Kushwah Nagar,C-4(M-34),94
L I G Square,M-36,149
Lakhani Bypass,M-22,169
Lakhani Bypass,M-22 A,173
Lakhani Bypass,M-23,1
Lakhani Bypass,R-17,70
Lal Bagh,E-4,46
Lal Bagh,M-11,8
Lal Bagh,M-20,18
Lal Bagh,M-20A,1
Lal Bagh,M-24B,15
Lal Bagh,M-37,20
Lal Bagh,M-4,46
Lal Bagh,R-4,33
Lal Bagh,R-5,200
Lal Bagh,R-9,55
Lantern Chowk,C-1,26
Lantern Chowk,M-25,50
Lantern Chowk,R-17,40
Lasudia,M-17,118
Lasudia,M-26,32
Lasudia,M-26A,13
Lasudia,N-5,36
Lasudia,R-4,17
Lasudiya Parmar,M-26,13
Lavkush Chouraha,C-4(M-34),120
Lavkush Chouraha,E-5,98
Lavkush Chouraha,M-35,10
Lavkush Chouraha,N-13,100
Lavkush Chouraha,R-5,199
Laxmi Bai Railway Station,M-11,29
Laxmi Petrol Pump,M-17,13
Laxmi Petrol Pump,M-26,47
Laxmi Petrol Pump,M-26A,33
Laxmi Petrol Pump,N-5,26
Laxmi Petrol Pump,R-4,3
Laxmibai Mandi,M-4,15
Lokhande Bridge,M-29,1
M I G Police Station Or Atal Dwar,M-36,82
M O G Lines Road,E-1,260
M O G Lines Road,E-3,12
M O G Lines Road,M-11,27
M O G Lines Road,M-24B,14
M O G Lines Road,M-4,19
M R 10,M-17,81
M R 10,M-35,522
M R 10,N-13,82
M R 10,R-17,93
M R 10,R-4,296
M R 10,R-5,738
M R-10 Road Bridge,M-35,1
M R-10 Toll Plaza,M-35,7
M R-10 Toll Plaza,N-13,4
M R-10 Toll Plaza,R-5,143
M T H,M-25,9
M Y Chauraha,C-3,6
M Y Chauraha,C-4(M-34),34
M Y Chauraha,M-29,25
M Y Chauraha,R-17,80
M Y Hospital,C-4(M-34),37
M Y Hospital,C2-(16),615
M Y Hospital,M-22,39
M Y Hospital,M-22 A,58
M Y Hospital,M-29,25
M Y Hospital Bus Stand,R-17,23
M Y Hospital Gate,C-4(M-34),190
M Y Hospital Gate,M-22,168
M Y Hospital Gate,M-22 A,103
M Y Hospital Gate,M-29,97
M Y Tempo Stand,R-17,16
Machhaliya,Indore-Jhabhua,1
Machli Farm House,C-3,1
Machli Farm House,M-19,27
Machli Farm House,M-4,26
Machli Farm House,M-6,84
Machli Farm House,N-5,18
Madhumilan Chauraha,C-3,3
Madhumilan Chauraha,C-4(M-34),79
Madhumilan Chauraha,C2-(16),370
Madhumilan Chauraha,M-22,50
Madhumilan Chauraha,M-22 A,72
Madhumilan Chauraha,M-29,52
Madhumilan Chauraha,M-36,102
Madhumilan Chauraha,R-17,30
Mahak Vatika,M-36,210
Mahalaxmi Nagar,M-25,104
Mahalaxmi Nagar,N-13,6
Maharaja Ranjit Singh College,C-3,2
Maharaja Ranjit Singh College,M-19,26
Maharaja Ranjit Singh College,M-4,78
Maharaja Ranjit Singh College,M-6,213
Maharaja Ranjit Singh College,N-5,12
Maharana Pratap Chowk,E-3,41
Maharana Pratap Chowk,R-9,159
Mahesh Gaurd Line Or Police Line Pump,E-5,191
Mahesh Gaurd Line Or Police Line Pump,M-29,7
Maksi,Indore-Narsingarh Via Biaora,2
Maksi,Narsingarh-Indore Via Biaora,8
Maksi Bypass,Narsingarh-Indore Via Biaora,1
Malganj Chouraha,E-5,16
Malgunj,C2-(16),113
Malgunj,E-5,57
Malgunj,M-22 A,48
Malviya Nagar,M-27,974
Malviya Nagar,M-36,399
Malviya Nagar,N-5,275
Malviya Nagar,R-5,1026
Malviya Petrol Pump,M-27,401
Malviya Petrol Pump,N-5,189
Malviya Petrol Pump,R-5,394
Malwa Mill,M-11,104
Malwa Mill,M-17,14
Malwa Mill,M-25,112
Malwa Mill,M-26A,2
Malwa Mill,M-36,174
Malwa Mill,R-17,60
Mamaji Ka Dhaba,M-35,19
Mamta Colony Or Ganesh Mandir,C-1,60
Manavta Nagar,R-9,198
Mangliya,M-17,429
Mangliya,M-26,13
Mangliya,M-26A,68
Mangliya,N-5,50
Manik Baag Bridge,M-11,7
Manik Baag Bridge,M-35,43
Mari Mata Square,C-4(M-34),161
Mari Mata Square,E-5,400
Mari Mata Square,M-29,129
Marod Fata,M-19,65
Maruti Nagar,M-26,8
Maruti Nagar,M-26A,1
Masjeed Khudel,M-22,21
Mayur Hospital,E-3,5
Mayur Hospital,M-27,114
Mayur Hospital,N-5,78
Mayur Hospital,R-5,70
Medicaps College,M-35,389
Meghadut Garden,M-17,23
Meghadut Garden,M-26,1
Meghadut Garden,N-13,10
Meghadut Garden,R-17,25
Meghadut Garden,R-4,17
Meghadut Garden,R-5,213
Mehatwara,Ashta-Indore,1
Mehatwara,Indore-Ashta,2
Mhow Nak,E-5,248
Mhow Nak,M-37,37
Mhow Naka,E-1,113
Mhow Naka,E-3,39
Mhow Naka Annapurna Road,E-1,64
Mhow Naka Annapurna Road,E-4,520
Mhow Naka Annapurna Road,E-5,177
Mhow Naka Annapurna Road,M-20,90
Mhow Naka Annapurna Road,M-20A,26
Mhow Naka Annapurna Road,R-4,24
Mhow Naka Complex,M-11,100
Mhow Naka Complex,M-24B,92
Mhow Naka Complex,M-37,12
Mhow Naka Complex,M-4,408
Mhow Naka Complex,R-4,94
Mhow Naka Complex,R-5,1051
Mhow Naka Complex,R-9,202
Modern Square,C-4(M-34),16
Modern Square,E-5,79
Moni Baba Ashram,C-4(M-34),11
Moni Baba Ashram,E-5,53
Mppt,M-19,80
Mukti Dham,M-17,5
Mukti Dham,M-26,5
Musakhedi Ring Road,C-4(M-34),68
Musakhedi Ring Road,C2-(16),1308
Musakhedi Ring Road,M-27,1276
Musakhedi Ring Road,M-37,15
Musakhedi Ring Road,N-12,150
Musakhedi Ring Road,N-5,350
Musakhedi Ring Road,R-5,2189
Musakhedi Sabji Mandi,C2-(16),177
Musakhedi Sawariya Mandir,C2-(16),574
Nagar Nigam,C-4(M-34),41
Nagar Nigam,E-3,61
Nagar Nigam,M-11,115
Nagar Nigam,M-29,59
Nagar Nigam,M-35,101
Nagar Nigam,R-4,65
Nai Duniya,M-20,68
Nai Duniya,M-20A,7
Nai Sadak,M-17,42
Nai Sadak,M-26,12
Nai Sadak,R-4,5
Naka Bhatta,M-35,23
Nakhrali Dhani,M-20,1
Nanda Nagar,M-11,8
Nandbagh Colony,M-29,208
Nandlalpura,M-22 A,4
Narmada Chouraha,R-4,20
Narmada Project,C2-(16),111
Narsingh Bazar,C-3,7
Narsingh Bazar,C2-(16),165
Narsingh Bazar,M-22 A,6
Narsinghgarh,Narsingarh-Indore Via Biaora,7
Narval,C-4(M-34),53
Nasrullaganj,Indore-Hoshangabad,3
Nath Mandir Or Samrat Hotel,R-9,33
Navda Panth,C2-(16),67
Navlakha Bus Stand,C-3,5
Navlakha Bus Stand,M-22,336
Navlakha Bus Stand,M-22 A,532
Navlakha Bus Stand,R-17,46
Navlakha Chouraha,E-4,299
Navlakha Chouraha,M-23,10
Navlakha Chouraha,R-17,64
Navneet Garden Crossing,E-4,63
Navneet Garden Crossing,M-20,22
Navneet Garden Crossing,M-20A,1
Navneet Tower Or Saket Nagar,C-1,39
Naw Factory,R-9,29
Naya Basera,E-1,20
Naya Basera,M-24B,20
Nayta Mundla,C-4(M-34),295
Nayta Mundla By Pass,C-4(M-34),1
Nehru Park Railway Station,M-17,5
Nemawar,Harda-Indore,1
Netralaya,C2-(16),171
Nevri Fata,Indore-Ashta,1
Nipania Bus Stop,M-25,117
Nipaniya Chouraha,M-27,773
Nipaniya Chouraha,N-5,135
Nirmal Dham,R-9,14
Noorani Nagar,C2-(16),231
Omax City By Pass,Indore-Ashta,3
Pachore,Narsingarh-Indore Via Biaora,6
Pagari,Narsingarh-Indore Via Biaora,1
Palasia,C-1,132
